hotel_id,city,distance,stars,rating,accommodation_type,year,month,weekend,price
1,Amsterdam,3.1,4,4.3,Hotel,2017,11,1,172
1,Amsterdam,3.1,4,4.3,Hotel,2018,1,1,122
1,Amsterdam,3.1,4,4.3,Hotel,2017,12,0,122
1,Amsterdam,3.1,4,4.3,Hotel,2017,12,0,552
1,Amsterdam,3.1,4,4.3,Hotel,2018,2,1,122
1,Amsterdam,3.1,4,4.3,Hotel,2017,11,0,114
2,Amsterdam,0.9,2,4.1,Hostel,2017,11,0,119
2,Amsterdam,0.9,2,4.1,Hostel,2017,12,0,119
2,Amsterdam,0.9,2,4.1,Hostel,2017,12,0,547
3,Amsterdam,1.5,4,4.1,Hotel,2017,12,0,118
3,Amsterdam,1.5,4,4.1,Hotel,2017,11,1,217
3,Amsterdam,1.5,4,4.1,Hotel,2018,1,1,114
3,Amsterdam,1.5,4,4.1,Hotel,2017,12,0,737
3,Amsterdam,1.5,4,4.1,Hotel,2017,11,0,117
4,Amsterdam,1.9,3,3.5,Hotel,2017,12,0,115
4,Amsterdam,1.9,3,3.5,Hotel,2017,11,0,71
5,Amsterdam,1.8,3.5,4,Hotel,2018,4,1,696
5,Amsterdam,1.8,3.5,4,Hotel,2018,1,1,922
5,Amsterdam,1.8,3.5,4,Hotel,2017,11,1,922
5,Amsterdam,1.8,3.5,4,Hotel,2018,3,1,922
5,Amsterdam,1.8,3.5,4,Hotel,2018,2,1,922
5,Amsterdam,1.8,3.5,4,Hotel,2017,11,0,690
5,Amsterdam,1.8,3.5,4,Hotel,2018,5,1,696
5,Amsterdam,1.8,3.5,4,Hotel,2017,12,0,3087
5,Amsterdam,1.8,3.5,4,Hotel,2018,6,1,696
5,Amsterdam,1.8,3.5,4,Hotel,2017,12,0,690
6,Amsterdam,1.9,4,4.1,Hotel,2018,2,1,216
6,Amsterdam,1.9,4,4.1,Hotel,2017,11,0,127
6,Amsterdam,1.9,4,4.1,Hotel,2017,12,0,127
